Question Asked,Date Question Asked,Posters Location,Text of Question,Question Header
"A friend needs breast reconstruction post cancer, plus body contouring surgery post bariatrics. Does order of procedures matter?","March 7, 2015","Philadelphia, PA","I am asking this question for a friend who had breast cancer surgery. One breast was greatly reduced (or as she puts it, ""a lot of the stuffing was taken out""). Her insurance will pay for breast reconstruction. If she also has body contouring plastic surgery, as she also is a post bariatric surgery patient, should the breast reconstruction come before or after a lower body lift or tummy tuck, upper arm surgery, OR doesn't it matter? How much time is recommended to wait between procedures?","A friend needs breast reconstruction post cancer, plus body contouring surgery post bariatrics. Does order of procedures matter?"
"Breast Expanders, how much to fill first time?","March 6, 2015",94920,"Had surgery,Feb 24, All went well I had a follow up with my plastic surgeon on that following Friday everything looked good. I then had another appointment on March 4 I still have both drains in,one on each side. She asked if it would be alright for her to fill each side with the a hundred cc of saline solution. I Wasn't paying much attention, and said yes even though I had read that usually only 50 to 60 mL are used as a fill first time out.","Breast Expanders, how much to fill first time?"
Had breast cancer 17 years ago & had implants put in. Left started leaking and the right one developed capsular. Any suggestion?,"March 19, 2015","Kitty Hawk, NC",i just had implants removed and new ones put in the shape of them make me flat chested i don't even fill up my size a bra there is volume up top like a push up bra but flat in the middle where you would fill the bra up what can be done just had surgery on march 16th,Had breast cancer 17 years ago & had implants put in. Left started leaking and the right one developed capsular. Any suggestion?
Do I have another option if I had a reaction to seriscaffold for bottoming out case?,"March 14, 2015","Gastonia, NC","I had alloderm's seriscaffold used for my bottoming out implant case, they were removed and replaced with textured implants, i do not like my results, and I am wondering to I have any more options to use, the textured implants sit too far apart and i have more ""side boob"" and the right implant still slides under my armpit when i lie down. When i had the seriscaffold my results were PERFECT to me. My tissue needs the support.",Do I have another option if I had a reaction to seriscaffold for bottoming out case?
"I'm 2 years post mastectomy and reconstrution. All was fine, but now I have pulling sensation around nipple area. Is it normal?","March 21, 2015",worcestershire,,"I'm 2 years post mastectomy and reconstrution. All was fine, but now I have pulling sensation around nipple area. Is it normal?"
How much does alloderm usually cost? I was botched from breast aug,"March 18, 2015",90066,I recently found out I was botched from my breast aug And was told by 5 doctors that I need my implants removed and to wait a couple months then have mastoplasty with alloderm bc my previous doctor streched out my skin so bad then I can get implants please help idk what to do and I'm in pain,How much does alloderm usually cost? I was botched from breast aug
I had Breast Augmentation in Feb of 2014 & was diagnosed with IDC breast cancer in Dec. Will I be able to get a bigger implant?,"March 23, 2015","Kitchener, ON",I had a lumpectomy and will be starting radiation soon. I really don't want my breast size to change. Will I be able to get a larger implant to increase and fix what I lost with the lumpectomy and antipated shrinkage from the radiation?,I had Breast Augmentation in Feb of 2014 & was diagnosed with IDC breast cancer in Dec. Will I be able to get a bigger implant?
Is there any way I can have high profile implants after mastectomy so as not to look flat? (photo),"March 24, 2015","Gloversville, NY","Related to my previous posts about being unhappy with my mentor implants after mastectomy due to flatness I. Is there any way I can have high profile implants after mastectomy so as not to look flat , BUT WITHOUT looking like I have Two coconuts on my chest? Why can't I have breast fullness and look natural? I am so disenchanted I am 5'3and1/2 ""and about 120lbs so I am considered thin by my doctors. Fullness with a natural appearance is what I need and want. I have 330cc medium height moderate plus mentor implants that are anatomical.",Is there any way I can have high profile implants after mastectomy so as not to look flat? (photo)
I have breast cancer then had implants. I have tightness and pain in my breast. Any suggestions?,"March 24, 2015","Sherman, TX",I have severe muscle spasms in my breast is their anything I can do to relieve the pain and tightness caused from the implants,I have breast cancer then had implants. I have tightness and pain in my breast. Any suggestions?
I wanted to be a size D after reconstruction.,"March 25, 2015","Cincinnati, OH",I'm only 3 days post op but can already tell I'm going to be much smaller. I'm devastated! I was a D cup and I felt like this was one area I could have control over. I maintained throughout this process I wanted to be a D and she never once told me it wouldn't be possible. What recourse do I have? ????,I wanted to be a size D after reconstruction.
I would like to know if I am a good candidate for Strattice and if any research is being done to prevent CC?,"March 26, 2015","Hendersonville, TN","I had a double mastectomy in 2001 (BRCA gene). Developed CC after surgery (in right breast-silicone implants). Had a capsulectomy and used saline. Last year, encapsulated again. Had 2nd capsulectomy to replace the implants after 11 years. Got infection in right breast and was on antibiotic. I healed and returned to normal activities (running marathons). Last week (6 months post op) I started running a 102.5 fever and my breast hurt was red, swollen, hot to the touch.",I would like to know if I am a good candidate for Strattice and if any research is being done to prevent CC?
Can you create a fold for the Breast during complete reconstruction.,"February 26, 2015","Canal Winchester, OH","I had one failed Breast reconstruction. New PS recommended fat transferand after 4 of those I started having upper back pain. So I had the larger implants removed and the scar was revised. But after almost 6 months I have not ""shelf"" and there are many areas that are caved in, I feel like a total freak. I can't wear a bra because it either rolls up or moves up and puts pressure on that area. It causes so much pain. Is there anything that can be done to create the shelf?",Can you create a fold for the Breast during complete reconstruction.
Best way to treat inframammary incision that opened up after 2 surgeries?,"March 11, 2015","Bakersfield, CA","After bilateral mastectomy for stage 1 Rt breast invasive cancer,I had expanders,10 weeks later had silicon gummy bear implants placed with inframammary scars. Rt side healed fine. Lt side incision opened up about 2 cm and Implant could be seen. Had another surgery to remove that implant and place a new, smaller gummy bear implant. Now incision opened up again. I have taken antibiotics every time of my surgeries,. Now my surgeon offered me Ryan's flap but says that I do not need to remove the implant.",Best way to treat inframammary incision that opened up after 2 surgeries?
I have had a left breast mastectomy with phase one of a DIEP Flap reconstruction completed.,"March 12, 2015","Lexington, NC","I am contented so far but my issue is with the Mons area. I am 15 weeks out and it looks huge. At this point it does not seem to be swelling, it probably needed lipo too so that it would match the tightness of the tummy tuck. Does any one know of a breast cancer reconstruction patient getting a monsplasty covered by insurance? I'm aware of the WHCRA of 1998 and article 'a' isn't inclusive or exclusive. Should I even try? I hate looking at it.",I have had a left breast mastectomy with phase one of a DIEP Flap reconstruction completed.
"When is Seri Scaffold, or a similar product, recommended?","March 14, 2015","Crab Orchard, TN","When is Seri Scaffold, or a similar product, recommended?","When is Seri Scaffold, or a similar product, recommended?"
What size breast implant will give me a small D cup after a double mastectomy?,"March 9, 2015","Raleigh, NC",I had delayed Breast Reconstruction surgery 7 weeks ago. I'm 5 foot 7 and 145 pounds. So far I have 500 cc's in my TE's. I would like to get to a small D in size. How many cc's more will I need to reach my desired small D size?,What size breast implant will give me a small D cup after a double mastectomy?
Are teardrop or shaped implants a poor choice for reconstruction in general?,"March 5, 2015",,"I don't want to end up with too much ""roundness "" at the top of my breast. I fear I'll end up with an even less natural shape, if using the round implant. I have never had fullness at the top of my breasts and would like to end up with a similar natural look. Plus I felt the teardrop gummy bear implant didn't look like it would ripple. Before being diagnosed I had considered this look very attractive for augmentation.",Are teardrop or shaped implants a poor choice for reconstruction in general?
"When can reconstruction begin after bilateral mastectomy, chemo and radiation?","February 19, 2015","Oklahoma City, OK","I am a 29 year old breast cancer patient. Triple negative, stage 2, grade 3. Underwent bilateral mastectomy in 09/14 and 2 out of 5 lymph nodes had cancer. I then had 4 rounds of A/C and 4 rounds of Taxol, which ended 02/05/15. Today they told me I will need the standard 5 days a week radiation treatment, and I'm still dumbfounded why I was never told this before. My question is, how long after radiation can reconstruction begin?","When can reconstruction begin after bilateral mastectomy, chemo and radiation?"
"I had chemo, lumpectomy and radiation. My right breast is now smaller. Will I have to wait a year to get implants?","March 8, 2015","East Troy, WI",I am 5/7 weight 145..am a cup want to be a full c or maybe d talked to Dr Johnson in dayton befor I went through any of my treatment plain.will I look ok with going that big?and what r the risk,"I had chemo, lumpectomy and radiation. My right breast is now smaller. Will I have to wait a year to get implants?"
I have a local recurrence after silicone implant placement. What is the best approach for reconstruction if radiation needed?,"March 21, 2015","Palm Springs, CA","I have a local recurrence 10months after implant placement.Local recurrence very near implant.radiation recommended after excision. Surgical onco might remove implant, should they put expander back or new implant before radiation?",I have a local recurrence after silicone implant placement. What is the best approach for reconstruction if radiation needed?
What is the best surgery to have when you have one saline implant and a mascetomy on other side?,"March 31, 2015","Anaheim, CA","57 double mastectomy had expanders, first implants horrible. Dr. Redid and resulted in necrosis of right breast, searched for new Dr. Because my dr. Refused to remove. Now My surgeon that did mascetomy says I'm perfect for fat transfer from stomach, I'm wondering which surgery is the best to go with? Also had 16 lymphnodes removed. So back is not an option.",What is the best surgery to have when you have one saline implant and a mascetomy on other side?
Reconstruction Gone Wrong? (photos),"April 2, 2015","Dillon, MT","10 days post op Natrelle 410 FF 740 cc. Following double mastectomy. I was expanded to 660 cc. The left side was always smaller a little misshaped and had hanging stiking at the bottom, throughout the expansion all problems the plastic surgeon said would be corrected during the implant surgery. The left side is still misshapen, has hanging skin on the bottom, and an odd flat shape on the fold which is also very deep. Any advice about questions to ask during my visit nex Monday would be appreciated. Katie",Reconstruction Gone Wrong? (photos)
3 months after mastectomy (photo),"April 8, 2015","Norway, SC","This is 3 months after mastectomy due to dcis and reconstruction with 355 cl silicon implant under pectoralis m in the same procedure. I am of course totally dissatisfied with the result and the asymmetry makes it impossible using a bra. What would you suggest is the best way to handle this disastrous situation, step by step ?",3 months after mastectomy (photo)
I am 7 weeks post reconstruction with cohesive gel implants under the muscle. Will the pain and my muscle reactions ever lessen?,"April 10, 2015","Sun City, CA","I am 7 weeks post reconstruction with cohesive gel implants under the muscle. Every time I flex my pectorals, exercise or use, they ache. It feels as though my contracting muscles will push my implants out. Will the pain and my muscle reactions ever lessen? I worry I won't be able to strengthen my upper body, without major pain.",I am 7 weeks post reconstruction with cohesive gel implants under the muscle. Will the pain and my muscle reactions ever lessen?
Can your body reject tissue expanders? Is there a formula for expansion cc's to implant size equaling final cup size? (Photo),"April 10, 2015","West Yellowstone, MT","dianosed with DCIS in right breast, class 3 , her2nue receptor, cancer cells removed during biopsy - elected to have bilateral masectomy with reconstruction. No chemo or radiation, sentinal nodes removed. Surgery was February 3, 2015. Problem with left breast - Suture area has some scabs still and occasionally pus present. Been on a round of antibiotics and blood work shows no infection. Persistant nausea. I was 56 at time of surgery. 5'6"", 145# - before surgery I was a 36B - 95% cancer free - yay!",Can your body reject tissue expanders? Is there a formula for expansion cc's to implant size equaling final cup size? (Photo)
Need tissue expanders a 2nd time?,"February 12, 2013",,I had a bilateral mastectomy last September with tissue expanders with the exchange surgery in April.  I expanded to 650cc silicon implants and am not satisfied with the size and would like to go up to the 800cc model.  I am trying to figure out if I will need to have the tissue expanders put back in again before I can move to the bigger size implant.  I have had the nipple reconstruction and will be having the nipple tattoo in a few months.  Will going up in size affect these things as well?  I have had no problems with the surgeries or the current implants that I have now.,Need tissue expanders a 2nd time?
UHC to cover breast reconstruction because congenital breast and nipple anomaly? Severe developmental defect. (Photo),"April 8, 2015","Broomfield, CO","I just meet with an MD MSPH, FABM, FAAP at a breastfeeding clinic and after checking my anatomy I'vee been diagnosed with insufficient glandular tissue and also a no-name congenital condition manifest in severely malformed nipples. I was told by breastfeeding advocates that nursing wont be an possible in my future. they suggested reconstructive surgery & think I may qualify cause my case is unique. How could my case be presented to gain appeoval? Several doc requests? Personal letter?",UHC to cover breast reconstruction because congenital breast and nipple anomaly? Severe developmental defect. (Photo)
I need a in network (united healthcare) PS who does diep flap reconstruction,"April 13, 2015",,I can't find any who are and who are taking patients. Only out of network help please!!!!,I need a in network (united healthcare) PS who does diep flap reconstruction
Will fat grafts work where I have muscle constricture?,"April 14, 2015","San Francisco, CA",I had a double mastectomy in 06. I switched my implants to the cohesive gel implants in 2014. I have major indentations where the muscle constricts in both breasts and a an indentation on the bottom half of one breast. My scar lines are deeper with the new implants. I think I should have stayed with the original round shape.,Will fat grafts work where I have muscle constricture?
I'm a 17 yr old female who was born with Pectus Excarvatum and has undergone the Nuss procedures. Breast recon good for me?,"April 8, 2015","Australia, AU","I am booked in the have a Breast recon/ augmentation in less than a month, my left breast is an A cup and my right side is flat. I am 176cm tall and weigh 50kg so there isn't much of me! I am getting 240cc (round jell) on my left side and expander on my right (then teardrop jell) would you know a rough estimate on what my cup size will be? And will the surgery be very noticeable (I'm having second thoughts because I go to an all girls high school) I'm in year 11. Thankyou",I'm a 17 yr old female who was born with Pectus Excarvatum and has undergone the Nuss procedures. Breast recon good for me?
"Tripped over dog and fell hard onto the corner of a wood table, about 1 into my silicone breast implant -can it have ruptured?","April 14, 2015","Richmond, VA","Had bi lateral mastectomy 1 1/2 years ago, recon was 1/14/14 had radiation after. This is radiated side. For the most part I am numb, however where this happened, it hurts terribly. I am so afraid that with the force of my landing on the corner that it could have reptured the implant. First of all, is this possible? Secondly how do you know if it is? thank you for your response(s)","Tripped over dog and fell hard onto the corner of a wood table, about 1 into my silicone breast implant -can it have ruptured?"
Is this necrosis? (photos),"March 30, 2015","Ireland, IN","I had prophylactic bilateral mastectomy with immediate one step reconstruction ( strattice and silicon implants) 19 days ago. My right breast developed a hematoma the day after surgery and I had to go back to the operating theatre to be opened up again and have this fixed. I also developed a seroma on the same recon breast. My question is do I now have necrosis? I saw the surgeon 4 days ago and he said blisters had developed on wound, but now it looks sore of dark brown black. Is it necrosis",Is this necrosis? (photos)
Prior Breast Cancer/radiation. I asked my PS if a C cup is possible and he said he would try. (photo),"March 31, 2015",48744,"1996 I had breast cancer, surgery, lumpectomy, radiation, In 2014, breast cancer again, same breast. Had double skin sparing mastectomy, and breast reconstruction. Reconstruction was Double Latissimus Dorsi Flap with tissue expanders. Since I chose reconstruction with the flap, I would have thought I could be a c cup. I asked my PS if a C cup is possible and he said he would try. My right breast (radiated one), is not expanding so well and is not stretching to the extent of my left one.",Prior Breast Cancer/radiation. I asked my PS if a C cup is possible and he said he would try. (photo)
"I've had breast recontruction and my nipples are too high. If I get small breast implants, will this fix the problem?","March 25, 2015","Gatineau, QC",,"I've had breast recontruction and my nipples are too high. If I get small breast implants, will this fix the problem?"
Can a 17 year old get a reconstructive breast augmentation with silicone implants?,"April 4, 2015","San Francisco, CA","I've read cases where certain patients were eligible for silicone implants under the age of 22 due to reconstructive purposes and I'm wondering if this would be possible for someone who is 17. I've been serious about a breast augmentation for quite some time. My breasts don't appear to have the ""normal"" shape (not sure if they are tuberous) and I notice some definite asymmetry. I also don't have a great deal of breast tissue so based on my research I feel that saline would not suit my needs.",Can a 17 year old get a reconstructive breast augmentation with silicone implants?
Exchange after mastecotomy. I just had my exchange after having tissue expander.,"April 5, 2015","Keller, TX",I am not to happy with the size. I had unilateral mastectomy. And just had exchange I ended up with 40 495cc natrelle in my left size and 10 style 240 cc implant in the right size.,Exchange after mastecotomy. I just had my exchange after having tissue expander.
My breast is not growing due to a scar on my chest. I need advice. (photo),"April 2, 2015",Nigeria,"Dr, When i was 5yrs old had a fire accident on my chest and it burnt one side of my breast which my breast has refused to grow at my age of 22, am about to do a skin graft but will the breast grow after that or the tissues are damaged. Am also thinking of taking breast success pills after the surgery don't know if it will work",My breast is not growing due to a scar on my chest. I need advice. (photo)
How long does Alloderm take to fully incorporate into breast tissue after having breast reconstruction after mastectomy?,"April 6, 2015","Denver, CO",I need to have another surgery to help even out my breasts. My doctor wants me to wait longer than I want to based on the alloderm and its incorporation. What is typical for the alloderm?,How long does Alloderm take to fully incorporate into breast tissue after having breast reconstruction after mastectomy?
How common is excruciating pain from bilateral mastectomy w/ partial reconstruction at 6 weeks postop?,"April 2, 2015","Spokane, WA","I am nearly 6 weeks postop prophylactic bilateral mastectomy w/ partial reconstruction (alloderm, tissue expanders expanded to 300cc in surgery, and latissimus dorsi flaps.) I could not survive w/o Vicodin every 6 hours from the intense pain I feel. The pain is an intense squeeze/burt feeling, relieved with pain meds. How common is this? What can I do to prevent this from becoming a chronic issue? (My expanders are now 400 cc's full now). Thank you for any insights",How common is excruciating pain from bilateral mastectomy w/ partial reconstruction at 6 weeks postop?
Is it normal to feel pain while the expander is being filled?,"April 7, 2015","Miami, FL",,Is it normal to feel pain while the expander is being filled?
Unhappy with Mentor implants. Will the high profile Mentor shaped implant still have a natural appearance nude? (Photo),"March 22, 2015","Gloversville, NY",My 2 previous posts have included pics thanks for all of the answers but what I want to know is will the high profile mentor shaped implant give me the added inch and still have a natural appearance nude? I hope so,Unhappy with Mentor implants. Will the high profile Mentor shaped implant still have a natural appearance nude? (Photo)
I had a bilateral mastectomy with DIEP flap reconstruction 20 days ago that lasted 15 hours. My feet have been numb and tingling,"April 14, 2015","Plainfield, IN",I spent five days in the hospital and my feet were numb the entire time. I've been home for 2 weeks and the numbness has improved to tingling. My doctors are saying it's from the long surgery/ positioning and say it will take time. Every night I am unable to sleep due to constant throbbing/shooting pains in my ankles and feet.I am no longer taking pain medication Because my breast and abdomen pain is very manageable. Is there anything that can be recommended for this unbearable pain in my feet?,I had a bilateral mastectomy with DIEP flap reconstruction 20 days ago that lasted 15 hours. My feet have been numb and tingling
"I had 4 breast surgeries 10 yrs ago, and now have thin skin flaps. Can I have surgery to exchange for much smaller implants?","April 24, 2015",Boston,"54 years old; 10 yrs s/p breast reduction, then bil mastectomy with immediate reconstruct (saline) & 2 add'l reconstructs (silicone) - within 18 mos. Surgeries were completed in 2005-2006. As a result, skin flaps are very thin. I have also lost significant weight and now implants seem too big and too heavy and are starting to sag. Have breast sensitivity/pain with any compression...a bra, a seatbelt, etc. not sure why? Am I precluded from another surgery for smaller implants due to surg hx?","I had 4 breast surgeries 10 yrs ago, and now have thin skin flaps. Can I have surgery to exchange for much smaller implants?"
"Masectomy in May 2014. Natrelle silicone implant 375cc. Left side lifted and surgeon placed a smaller implant, 180cc (Photo)","April 23, 2015","Los Altos, CA","I am 5'9 /135 pounds. Maybe I should have chosen a C cup instead of a B+ which is what the surgeon said I would end up with. At any rate, because I had radiation with the expander in for 6 months to heal, I was told that the amount of saline put in prior to radiation determined my size forever because radiation tightens the skin. They aren't very swollen I feel and I am one week out of surgery. I was told it will take a while to see the final result. Please give me an honest opinion.","Masectomy in May 2014. Natrelle silicone implant 375cc. Left side lifted and surgeon placed a smaller implant, 180cc (Photo)"
Is extreme pain in one side after bilateral mastectomy/tissue expanders normal?,"April 26, 2015","Washington, DC","Hello, I'm a 28 year old four days out of a prophylactic operation and having excruciating pain in one side while the drains are being ""milked."" On a normal basis the pain is bearable, but when I'm having the JP tubes cleaned ONLY on the left side, it's the most horrible tear-inducing, crippling pain I've ever had. Cleaning the right side is uncomfortable, but not unbearable like the left. The Jps seem to be be draining ok overall, although one on each side usually has less than the other. Thanks so much!",Is extreme pain in one side after bilateral mastectomy/tissue expanders normal?
Are there implant techniques that are less damaging to the muscle?,"April 26, 2015","Elkridge, MD",I am having bilateral mastectomies due to cancer and my doctor says I will loose 40% of function/strength in my pecs.,Are there implant techniques that are less damaging to the muscle?
Is it too late to have my breast reconstruction corrected?,"April 8, 2015","Mississippi State, MS","I had a bilateral mastectomy with tissue expanders. They expanded me to 525cc. Before the swap over I liked this size and my expanders were high and tight with good projection. Once the swap, I now have one side larger and it hangs lower on the non cancer side. My surg. was 5 months ago. I'm not happy about this. My implants are smaller and less projection than what I had with the expanders and one is bigger than the other. How do I approach him about this? Is it too late to be corrected?",Is it too late to have my breast reconstruction corrected?
I have been cancer free for 10 years now. I want to know if it's not too late for breast reconstruction on my right side?,"April 23, 2015","East Texas, PA","I had a right breast mastectomy and I have always felt like half a woman. I want to feel like a real woman again. So I want a breast reconstruction surgery, but I am out of options. There is no plastic surgeon in my area.",I have been cancer free for 10 years now. I want to know if it's not too late for breast reconstruction on my right side?
Is it possible to have breast reconstruction 15 years after a mastectomy?,"March 9, 2015","Saint Matthews, SC",,Is it possible to have breast reconstruction 15 years after a mastectomy?
Is there any need to remove pectoral muscle during prophylactic mastectomy?,"April 25, 2015","Medway, MA","Had prophylactic mastectomy with DTI silicone. Procedure failed due to poor bllod supply. Had second reconstructive surgery, DIEP. New PS found pectoral muscle removed. This information was not in Op report nor, had I been told. Should I have?",Is there any need to remove pectoral muscle during prophylactic mastectomy?
Is the FDA is in the process of approving larger silicone implants up to 1400cc? Can I get an 800cc & exchange 4 larger? (photo),"April 9, 2015","Cincinnati, OH",I had a right skin sparing matectomy with a tissue expander placed & filled to 750cc.I wore a 34g/36h bra size. The only option I am being given is to place an 800cc implant & have a reduction on the unaffected breast. I am unhappy with the size. I never wanted smaller breasts & would prefer to avoid surgery on the unaffected breast. I have heard that the fda is in the process of approving larger silicone implants. Can I get an 800cc implant now and later have it exchanged for a 1400cc implant?,Is the FDA is in the process of approving larger silicone implants up to 1400cc? Can I get an 800cc & exchange 4 larger? (photo)
Older breasts Issues after mastectomy.,"April 15, 2015","Saint George, UT",I had a mastectomy 30 years ago and I would really like to have a new breast and make the other better and have a match. I do not have a nipple on my removed breast build up. What should I do?,Older breasts Issues after mastectomy.
What's the best way to get under the unclosed flap from the implant removal today? (Post mastectomy) Any tips or suggestions?,"April 19, 2015","White Plains, NY",My plastic surgeon removed my implant while I laid on my hospital bed today. He packed it with bentadine gauze and wants me to remove packed gauze and clean it in the shower tonight. He will return in the am to irrigate and repack. i will get a new implant on tuesday with a drain to accompany it. It was removed because i had an a seroma that wouldnt quit. Im a little nervous and the nurses said its out of the scope of their job to help me in anyway besides hand me a towel.,What's the best way to get under the unclosed flap from the implant removal today? (Post mastectomy) Any tips or suggestions?
Very non-compliant patient needing clearer guidelines. How much do I really need to listen to restrictions?,"April 19, 2015","East Texas, PA","I had a double mastectomy 9 months ago and was back at the gym 2 weeks later lifting. I had reconstruction surgery a few days ago. I opted for the very painful direct to implant option. My PS said it required using more muscle than most implant surgeries. extra muscles pulled up to cover the implant. Already I find myself trying to do laundry, lifting stuff- I have 3 kids! While I'll let go of deadlifting and bench pressing for now, how much do I really need to listen to restrictions?",Very non-compliant patient needing clearer guidelines. How much do I really need to listen to restrictions?
Can I remove my breast tissue and replace it with implants because I'm a very high risk for breast cancer?,"April 12, 2015","Houston, TX",My remove breast tissue and put implants because I'm high risk for breast cancer?,Can I remove my breast tissue and replace it with implants because I'm a very high risk for breast cancer?
Continued pain with tissue expanders. What should I do?,"April 20, 2015","Raleigh, NC","I had delayed breast reconstruction with bilateral tissue expanders in January 2015. My last fill was 2 weeks ago. My right breast is free of any pain, but my left breast (previous cancer side) is very painful 24/7...the pain extends to my left shoulder blade area. I've tried Advil, Percocet and Soma without any relief. There is no redness or fever. My PS suggested a Pet CT scan. I'm worried about getting that done due to the high amount of radiation and more cancer risk. What should I do? Help!",Continued pain with tissue expanders. What should I do?
Will a reconstructed nipple adhere to areola after 2 months of healing time?,"April 20, 2015","Brick, NJ","After complete breast reconstruction, the bottom of the nipple is not attached to the aereolasection. There is a little oozing after 2 months . Skin was taken from an existing C-section scar>",Will a reconstructed nipple adhere to areola after 2 months of healing time?
What is the average recovery time after having breast expanders removed and replaced with round implants?,"April 21, 2015","Grand Blanc, MI",,What is the average recovery time after having breast expanders removed and replaced with round implants?
Is my implant leaking or do I just need fillers? (photos),"April 22, 2015","Richmond Hill, GA","I had immediate reconstruction after a mastectomy 6 years ago. They used a silicone implant. It looks a cup size different than my other breast now, and I can see and feel the ripples in the implant. It has always looked ""weird"". It also has always lay flatter but now when I lie down you can't even tell that there's an implant there. I'd like to get a new implant and a new symmetry surgery on the right but my plastic surgeon says my insurance won't pay for this. So what can I do?",Is my implant leaking or do I just need fillers? (photos)
"I want to have an expander put back in, I had to have it taken out after getting a mycobacterial infection in my expander.","May 1, 2015","Marshfield, MO","I had a latissmus dorsi flap reconstruction done and the expander got infected with a mycobacterial infection, I had the expander removed and did six months of antibiotics. It has been over a year since the surgery. Will this happen again if I try to have an expander put back in? How likely will I be to have another infection and is there any other ways to have reconstruction done without an expander?","I want to have an expander put back in, I had to have it taken out after getting a mycobacterial infection in my expander."
Prophylactic Mastectomy and Reconstruction- Pros and Cons of Staged vs Single Stage Procedure?,"April 28, 2015","Boston, MA","I am BRCA 1 positive, 30 years old, 34B cup size, and planning for my (hopefully) prophylactic mastectomy and reconstruction. In order to plan/schedule this procedure I need some real information about the pros and cons of a staged reconstruction (expanders) vs a single stage reconstruction. Also helpful would be information on recovery time differences, aesthetic results and consistency, scarring (internal/external) and revision rates.",Prophylactic Mastectomy and Reconstruction- Pros and Cons of Staged vs Single Stage Procedure?
How are silicone breast implants anchored? How can I keep them from shifting?,"May 10, 2015","Palo Alto, CA","I recently had tissue expanders replaced by silicone breast implants after a double mastectomy. I am 81 years old, and am curious about how they are anchored, and whether I have to worry about their shifting.",How are silicone breast implants anchored? How can I keep them from shifting?
Bilateral mastectomy and reconstruction. How long before I should consider having them fixed?,"May 8, 2015","South Bend, IN",3 months ago I had a bilateral mastectomy with reconstruction I ended up with two different shapes and sizes They are hard and Un comfortable. Can I have normal looking breast and how long before I should considered waiting to have them fixed,Bilateral mastectomy and reconstruction. How long before I should consider having them fixed?
Broken rib after last fill. Has anyone heard of this? Is it going to effect my exchange surgery in 6 weeks?,"May 12, 2015","Raleigh, NC",A pet ct scan revealed that the left 4th rib was broken. It came shortly after my last fill. Has anyone heard of this? Is it going to effect my exchange surgery in 6 weeks? Will my rib always hurt now? Once you break a bone it's never the same!,Broken rib after last fill. Has anyone heard of this? Is it going to effect my exchange surgery in 6 weeks?
I had bilateral mastectomy 11 weeks ago with implants placed at the same time. What should I expect? (photos),"May 14, 2015","Weirton, WV","I had precancerous nodules with large family hx. 6 weeks post op right breast became encapsulated they were over the muscle. I went back to surgery took implants out cleaned and debrided scar tissue in surgery for 5 hours placed implants under the muscle. post op day four MD aspirated 500cc of fluid from each breast. Went to radiology for ultrasound guidied drains, despite many attempts Dr was only able to place drain in right breast. 2-3 days later became very ill MD admitted placed drains cultures + Staph in left breast. What should I expect?",I had bilateral mastectomy 11 weeks ago with implants placed at the same time. What should I expect? (photos)
Why would my plastic surgeon put in 2 diff size implants?? Is the tissue in the left breast gonna die? (photos),"May 15, 2015","Indiana, IN",2 weeks ago i had a nipple sparing double masectomy. My sergeon did not do a pre-op appt nor did he discus my options. I didn what to expect when i woke up. But id like to think with plastic surgery id look better or at the most the same on both sides...i do believe left breast has been compromised due to the pressure of the implant..what are my options now that this has been done?? Do u think will heal?? The doc told my mom the reason they are diff was because he had to put in what he too out,Why would my plastic surgeon put in 2 diff size implants?? Is the tissue in the left breast gonna die? (photos)
How common is it for an MRI to be done on someone with a metal expander in place?,"May 14, 2015","Indio, CA",I have stage 3 breast cancer and I have a metal expander inside of me. I was scheduled for an MRI and when I got to the doctors he informed me that he did not know that I had this in me and would not perform the MRI. Although my other doctor had an MRI done on me a few days prior. Now to my understanding they should not be done and should not yave been on me with a metal expander in me. Why and what are the risks and danger of this being done,How common is it for an MRI to be done on someone with a metal expander in place?
Why does my surgeon need to fill up the implant 100cc more? (Photo),"April 25, 2015","Victorville, CA",I don't want to go big so I asked to go 350 and he said that's fine he will do full mastopexy saline HP with partial mastectomy but he will fill the implant to 450 because he said I will not be happy and be too small since he is removing tissue. I told him I want my breast perkier and some volume and would love to be able to cover them.was I given the correct CC and procedure? Also why does he need to fill it up 100cc more?,Why does my surgeon need to fill up the implant 100cc more? (Photo)
Breast Reconstruction. I have a question for my friend: does she need bigger implants to fill the breast? (Photo),"May 15, 2015","London, GB",She had SLE and took high doses of cortisone which increased her bra size from 34C to 40H in 3months. She did reduction from 40H to 34D in 2011. Due to lack of volume and saggy breast in2014 she had 240cc implants. The doctor made his decision based on her fragile skin and big stretch marks.But he did a 2nd surgery as implants were high and side muscles needed sutures. Does she need bigger implants to fill properly the breast or the skin is an issue or the fact that she had a previous reduction?,Breast Reconstruction. I have a question for my friend: does she need bigger implants to fill the breast? (Photo)
Why should I pay to have this done again? Is this right?,"May 8, 2015","Houston, TX","I had a double mastectomy. At the time of my first consult I was told there may need to be a tweak afterwards. He showed me a picture of what I would look like. 6 months later, my nipples are in different places, one is larger than the other, they are to far apart and one is higher. I can not understand why I would have to pay for a full reconstruction of the first go round.",Why should I pay to have this done again? Is this right?
