Question Asked,Date Question Asked,Posters Location,Text of Question,Question Header,Question Type,Tag
Hi I had breast replacement 4 weeks ago my right breast is flat under areola is this normal?,12-Feb-14,palmdale ca ,Silicone size 410cc opening half under arreola.,Hi I had breast replacement 4 weeks ago my right breast is flat under areola is this normal?,After Procedure Only,silicone implant
Pain with Implant. Is This Normal?,"April 16, 2011","Slidell, LA","I had a mastectomy in Feb 2010. Reconstruction with expander then silicone implant. Revision in Oct.2010 to make the shelf for the breast and mastopexy on other breast. I have allot of muscle pain (burning,itching sore)with implant, it is moderately painful every day. Is this normal?",Pain with Implant. Is This Normal?,After Procedure Only,silicone implant
Will Abdomen Tissue Help with Right Breast Tightness?,"April 26, 2011","Calgary, AB","I have had reconstruction (2005) left breast is awesome, right breast keeps getting tighter and tigher - I&#39;ve been told due to radiation. It doesn&#39;t seem to be the skin but the muscle.

	I am very physically active and am right handed. Can I keep my implants and have my right breast enhanced with some tissue from my abdomen to loosen this up -- my breast keeps getting higher and higher and is quite uncomfortable and looks really odd. I don&#39;t have a picture but I&#39;m sure you get it.",Will Abdomen Tissue Help with Right Breast Tightness?,After Procedure Only,radiation
Necrotic Nipple (Size of Baseball) Due to Radiation. What Can Done Besides Surgery? No infection. Just dead tissue,"April 19, 2012",,"After Double masectomy,(nipple sparing, used alloderm, immediate implants) have nacrotic right nipple and below. (size of baseball) for 16 weeks due to radiation 5 yrs ago. 37th Hyperbaric Chamber appt. tomorrow. What else can be tried? Please help, only thing being offered is surgery to remove implant and nacrotic tissue, wait 6 months, insert expander, wait 6 mos, then try again with no guarantee it won't happen again. No infection. Just dead tissue. Any Ideas?",Necrotic Nipple (Size of Baseball) Due to Radiation. What Can Done Besides Surgery? No infection. Just dead tissue,After Procedure Only,radiation
"I Had Breast Reduction on a Breast That Had Radiation, wont Heal, drains & Smells Bad?",6-Sep-12,,I had breast cancer on the right breast and had it removed (lump ) then lots of radiation which caused the inplant to leak. So they removed the inplants and did a breast reduction at the same time. She said the tissue was all damaged and now we cant get it to heal. It drains all the time and it smells bad. This has been 3months ago. I am on antibodics and i use burn cream(silverdine) but it is not getting better.what can i do.,"I Had Breast Reduction on a Breast That Had Radiation, wont Heal, drains & Smells Bad?",After Procedure Only,radiation
"Have Shrinkage, Radiated Reconstructed Side, Also Hardening/scarring/ 7 Wks Post Op, How Long Wait Period?",26-Oct-12,"Jersey, AR","Radiation was 9 months ago, thought safe /since more cancer was found to have masectomy/reconstruction at same time. Radiated side is not working out, scarring appeared 6 wks post-op, and shrinkage. How long to wait for repairs and can the outcome be favorable? Hda diep flap radiated side, tram on other. Also have alot on weakness in stomach area. Will this go away?","Have Shrinkage, Radiated Reconstructed Side, Also Hardening/scarring/ 7 Wks Post Op, How Long Wait Period?",After Procedure Only,radiation
4 Days of Radiation and I Find Out I Can't Expand Anymore. Can I Stop Radiation Now and Finish Expanding?,30-Nov-12,,I had a double mastectomy On August 23 and decided against chemo . I went to radiation doctor and AND SINce I decided not to chemo he suggested we start in a week. No One told me I was going to be stuck with little to no boobs cause my plastic surgeon wont fill . Can I stop radiation after only having it four days and start the fills of expansion again. Please let me know .. Why doctors dont inform you of this down fall stumps me.. They go to medical school and I guess we are expected to,4 Days of Radiation and I Find Out I Can't Expand Anymore. Can I Stop Radiation Now and Finish Expanding?,After Procedure Only,radiation
"Hard Dent in Breast After Chemo, Radiation and Reconstruction?","April 7, 2013",,Breast implant removed and replaced after chemo and radiation. Numerous breast revision. Last surgery replaced3rd implant b/c breast swelling. After radiation the left breast has need hard and with a dent. How can't I rid of the hard dent?,"Hard Dent in Breast After Chemo, Radiation and Reconstruction?",After Procedure Only,radiation
"Is Changing Type of Procedure During Operation a Usual Occurrence? Have Diep 1 Side and Tram on Other Side, ",7-Oct-12,"Jersey, AR","diep side is the radiated side,also side with gram negative pseudomnas, been on Cipro 3 wks, this is the breast that has shrunk and has abnormal tissue. Actually looks to me like partial flap failure, but the doctor not even considering. Says just wait.......","Is Changing Type of Procedure During Operation a Usual Occurrence? Have Diep 1 Side and Tram on Other Side, ",After Procedure Only,radiation
Can Ruptured Silicone Implants Cause Gas to Develop in the Chest Area?,5-Sep-13,,"I received radiation treatment following breast cancer, which resulted in scar tissue being formed. I had a masectomy after a reocurrence in the same breast followed by implantation of silicone implants. Recently, some scar tissue snapped due to a sharp twist of my spine. The position of the implant shifted slightly and the implant became softer. Since that occurred, I have experienced constant gas and slight pain in the chest area and back areas.",Can Ruptured Silicone Implants Cause Gas to Develop in the Chest Area?,After Procedure Only,radiation
More Painful After Re-inflation?,30-Jun-13,,"So I finished radiation on 6/3. My PS filled me 300cc in 6/17. Everything was fine. He then completed my expansion with 300cc on 6/28. This time was MORE painful than reradiation expansion. It hurt like ****!!!! Today I am still having pain, but why so much? Also my radiated side is not proportioned with the other side as it was initially. I have a high ""boob"" and a lower ""boob"". Will it move into place and be proportioned once my skins is done stretching? My PS didn't say anything. Smh",More Painful After Re-inflation?,After Procedure Only,radiation
BC And Radiation? (photo),25-Sep-13,"Lincolnshire, IL",I had DCIS and radiation 7 ys ago. Now I got cancer again. They did a bilateral mastectomy took 2 nodes out which were clean during surgery with immediate implant reconstruction. Now a wk later one node did have cancer and there is cancer in the chest muscle. My drs cannot decide to do more surgery or let chemo work. they want to add radiation. My skin had 33 sessions 7 yrs ago same side. More surgery? Radiation? Remove the implant first? Please advise before it is too late.,BC And Radiation? (photo),After Procedure Only,radiation
Can someone please help me determine what is going on with my breast after a lift of a radiated breast? (photo),20-Nov-13,,"I had radiation therapy following breast cancer in 1997. Over the years the breast got smaller and smaller so recently I had a breast reduction and lift done to the unaffected breast, and just a lift done to the radiated breast as per my doctors recommendation. Now two months after my surgery the radiated breast is hard and black in some areas. My doctor has treated me for an infection, but the problem still exist and he seems to not have a clue as to how to proceed, which worries me.",Can someone please help me determine what is going on with my breast after a lift of a radiated breast? (photo),After Procedure Only,radiation
What is on and in my Right Breast? (photo),"April 12, 2013",Connecticut,"My PS Has No Idea and Apparently 2 Radiologist, 2 Other PS and 1 Oncologist Have No Idea? Radiation done in 2006, Breast implants on both and reconstruction to the right breast were done 2008. I have had 2 returning surgery's to correct issues. December 7, 2012 being my most recent and this is my result after 16 weeks and 2 rounds of antibiotics. I was just told to begin another round.",What is on and in my Right Breast? (photo),After Procedure Only,radiation
Is There an Increased Risk of Pneumonia W/silicone Implants W/reconstructive Breast Surger,1-Jul-11,"San Diego, CA","Is there an increased risk or association of respiratory infections & or pneumonia, 4+ years after having silicone implants for reconstructive breast surgery for cancer? I&#39;m a volunteer RN, BSN, MS counseling cancer survivors & have a a patient who has had @ least 1 occurrences of pseudamonis respiratory infection & 3 occurrences of pneumonia. All were either treated w/a Z pack or levaquin, or cipro.",Is There an Increased Risk of Pneumonia W/silicone Implants W/reconstructive Breast Surger,After Procedure Only,silicone implant
"I Had a Bilateral Mastectomy Almost Three Years Ago, and For the Last Few Years Off and On They Itch Like Crazy?","April 14, 2012",,"i had a bilateral mastectomy almost three years ago, and for the last few years off and on they itch like crazy! It literally feels like I am trying to rip the darn things out just to get it to stop, is this normal, and how do i make it stop since the itch is on the inside? Also if you need to know i got silicone implants? ( did i spell that right?)","I Had a Bilateral Mastectomy Almost Three Years Ago, and For the Last Few Years Off and On They Itch Like Crazy?",After Procedure Only,silicone implant
What Could Be the Cause of Hardening in Breast After Implants?,13-Jul-10,georgia,I had silicone implants put in in June. It&#39;s been about 6 weeks and I have a hardening in my left breast. The area is about 3 inches long and an inch wide. This breast received radiation treatment 6 years ago. I had a mastectomy in August of 2009. Tissue expanders and then the implants. This was my second round with breast cancer. I underwent chemo as well.,What Could Be the Cause of Hardening in Breast After Implants?,After Procedure Only,silicone implant
Why Did I Have a Bad Reaction to Silicone- I've Heard There Are No Silicone Allergies?,24-Sep-11,"Waterford City,Ireland","BRCA 2 positive,Profolatic Double Mastectomy, bad reaction to expanders of brest reconstruction waited 6 months then tried again,reconstruction with sling instead of expanders, within 48 hrs after surgery,""massive reaction to the silicone Implants, emergency surgery to remove implants again, Dr. George Breaka states that there is no such thing as an allergic reaction to silicone! if that is the case, then what happened to me?",Why Did I Have a Bad Reaction to Silicone- I've Heard There Are No Silicone Allergies?,After Procedure Only,silicone implant
"My Silicone Gel Implant is Flat in the Nipple Area, Will That Round Out?",21-Aug-11,"Seattle, WA","I am 5 days post op and this was placed after my expander that was in place post mastectomy. The scar is across the area tha is flat, so I don&#39;t know if that is what is causing it to look not very shapely. It&#39;s flat across the top and a little uneven along the bottom. Will this eventually work itself out?","My Silicone Gel Implant is Flat in the Nipple Area, Will That Round Out?",After Procedure Only,silicone implant
There is a Long Indented Groove in my Implant Do You Think I Should Have It Checked?,25-Jul-12,,"I had a double mesectomy a little over a year ago, I choose to have breast reconstructive surgery. Today I noticed a long indent groove about four inch long. I do not have in feelings in my breasts do to the previous surgeries but I do feel pressure in that particular breast. I choose to go with a Silicone implant do you think i am having some type of leakage?",There is a Long Indented Groove in my Implant Do You Think I Should Have It Checked?,After Procedure Only,silicone implant
Is it unusual for a breast to undergo these changes over 3 years after being treated?,24-Jan-14,,"I pu saline implants in 2003(I was 37). In '09 diagnosed DCIS stage 0 & had lumpectomy & radiation. I was told that the radiation could possibly slightly harden or weaken my implant. No problem at all at time of radiation. This past summer, I noticed that the treated breast looked and felt smaller. the implant is intact. Surg said shrinkage is from the radiation, would not recom the new larger implants I was hoping for. his recommendation was to bring the larger size down to equal the radiated breast.",Is it unusual for a breast to undergo these changes over 3 years after being treated?,After Procedure Only,radiation
Breast Reconstruction After Radiation That Occurred 20 Years Ago? ,11-Jan-13,,I had lumpectomy and radiation in my left breast 20 years ago. Now I have a new carcinoma and must have a mastectomy of same breast. I was told that an implant is not an option because of the previous radiation. Just want to verify that this is correct. I am not interested in using back muscle because I am an active swimmer.,Breast Reconstruction After Radiation That Occurred 20 Years Ago? ,After Procedure Only,radiation
I have just found out that radiation is actually going. I am now concerned how radiation will effect my reconstruction (Photo),27-Jun-15,"Briarcliff Manor, NY",Will the orange peel look fade? And will the skin tighten also will the scar flatten and fade?,I have just found out that radiation is actually going. I am now concerned how radiation will effect my reconstruction (Photo),After Procedure Only,radiation
Is it possible to achieve greater expansion of breasts w/ thin skin by filling more slowly over a longer period of time? (photo),18-Nov-15,"Nashville, TN","I had M and recon. with expanders / alloderm 6 weeks ago. Radiation to R starting in 3 weeks. Happy with expanders, no pain but Im very disappointed with size. At 540 cc now. My PS says the skin is very thin and cant expand more. My natural breast volume was @675 cc. Wanted 800 cc implants. I certainly don't want to be smaller than before! I don't want a lat flap. Can I continue to expand post radiation slowly and will skin eventually thicken or is lat flap my only realistic option?",Is it possible to achieve greater expansion of breasts w/ thin skin by filling more slowly over a longer period of time? (photo),After Procedure Only,radiation
Dangers of radiation to fat grafted implants?,20-Feb-16,"Southwest Harbor, ME","I had dbMx 18.5 years ago. During an implant exchange and biopsy of suspicious node, i was diagnosed with IDC. The PS however did not wait during the surgery for biopsy results, and went forward with implant exchange and lipo fat grafting. Now I'm to start 6.5 weeks of rads. I'm worried about the fat grafting turning I to necrosis, due to it's nature and limit of time in breast Injected Nov 15th, 3 months ago. Thank you, I can find no data on pre- radiation fat grafts.",Dangers of radiation to fat grafted implants?,After Procedure Only,radiation
I had radiation 3 yrs ago. My breast skin is very thick and shape has change drastically. Is this normal after radiation?,20-Jun-16,"Philadelphia, PA",,I had radiation 3 yrs ago. My breast skin is very thick and shape has change drastically. Is this normal after radiation?,After Procedure Only,radiation
"Reconstructed breast won't stay up, despite 2 Alloderm hammock surgeries.","April 28, 2016","Portland, OR","Bilateral mastectomy in 2011, chemo, radiation. I had surgery last year on my non-cancer breast to add another graft and lift it. It is falling again. Is there anything else that can be done to support this implant better?","Reconstructed breast won't stay up, despite 2 Alloderm hammock surgeries.",After Procedure Only,radiation
I had breast expanders after mastectomy and radiation and have pain.,14-Jun-14,"Hawaii National Park, HI",Under the expander on the radiation side when I breathe deeply it hurts. The pain was excruciating after surgery two months ago but has subsided some.,I had breast expanders after mastectomy and radiation and have pain.,After Procedure Only,radiation
Can my breast be fixed? (photos),19-Aug-14,"Dallas, TX","I am looking for a doctor who can fix my breast. Also one who will work with the Hope Chest. I am a breast cancer survivor. After they took off the cancer, I had radiation and they did reconstruction. When they removed the bandage most of my tissue was dead on one side. I think they said e-coli was under the bandage. This was on my first post-op visit. I had to go in for them to remove bandages and re-bandage. Do any of you work with Hope Chest? or can you fix this?",Can my breast be fixed? (photos),After Procedure Only,radiation
I opted to have a bilateral prophelactic mastectomy after a lumpectomy on right breast. Also had chemo and radiation (Photo),12-Dec-14,"South Africa, ZA","As you can see I still have breast skin and nibbles but they have put implants under pec which looks terrible causing horrible puckering is it possible to use alluderm alone instead of pecs because they look so flat and are hard and lumpy , I am so unhappy I can't look at myself . Thx",I opted to have a bilateral prophelactic mastectomy after a lumpectomy on right breast. Also had chemo and radiation (Photo),After Procedure Only,radiation
I have a local recurrence after silicone implant placement. What is the best approach for reconstruction if radiation needed?,21-Mar-15,"Palm Springs, CA","I have a local recurrence 10months after implant placement.Local recurrence very near implant.radiation recommended after excision. Surgical onco might remove implant, should they put expander back or new implant before radiation?",I have a local recurrence after silicone implant placement. What is the best approach for reconstruction if radiation needed?,After Procedure Only,radiation
Prior Breast Cancer/radiation. I asked my PS if a C cup is possible and he said he would try. (photo),31-Mar-15,48744,"1996 I had breast cancer, surgery, lumpectomy, radiation, In 2014, breast cancer again, same breast. Had double skin sparing mastectomy, and breast reconstruction. Reconstruction was Double Latissimus Dorsi Flap with tissue expanders. Since I chose reconstruction with the flap, I would have thought I could be a c cup. I asked my PS if a C cup is possible and he said he would try. My right breast (radiated one), is not expanding so well and is not stretching to the extent of my left one.",Prior Breast Cancer/radiation. I asked my PS if a C cup is possible and he said he would try. (photo),After Procedure Only,radiation
Do I need to lose weight and if so how much in order to do a tissue flap reconstruction procedure?,10-Jul-17,"Los Angeles, CA","I had a double mastectomy(size DD to 0). I had expanders placed. The left expander leaked, replaced, had an infection, and was removed. I had radiation on my left breast. The other expander flipped and couldn't be filled. Wearing prosthetic breast was the only option until I lose weight. My surgery was delayed. I was having a hard time losing 35 lbs that was recommended (100 lbs overweight). Do I need to lose weight and if so how much in order to do a tissue flap reconstruction?procedure?",Do I need to lose weight and if so how much in order to do a tissue flap reconstruction procedure?,After Procedure Only,radiation
"If I had Mastectomy this time with expanders, is it too late to get a diep flap after having expanders in for 4 months?",11-Jul-16,"Livermore, CA",Had breast Ca and had a lumpectomy with radiation 20 yrs ago and now it came back same side. My breast ca side is very tight and it's stiff and painful with having expanders,"If I had Mastectomy this time with expanders, is it too late to get a diep flap after having expanders in for 4 months?",After Procedure Only,radiation
Bilateral mastectomy with reconstruction (implants) and radiation.,17-Aug-16,"Calgary, AB",I have tried to use a band to encourage the radiated implant to go lower but it seems like the lower portion of the breast has no give and it actually puckers at the suture line which is lateral from nipple to armpit. My surgeons has lowered and enlarged pocket twice. Do you think that I will have to have skin/tissue grafting to the lower portion of my breast to correct this issue.,Bilateral mastectomy with reconstruction (implants) and radiation.,After Procedure Only,radiation
Is puffiness common -4 weeks post 2nd stage breast reconstruction?,24-Sep-16,"Houston, TX",i had 2nd stage reconstruction 9/1/16. Expanders switched out for silicone implants after bilateral mast. in Oct. 2015. My right side (cancer & radiated side) is pretty puffy still. it's my actual side -right above bra strap. Is this normal? i feel great but worried this is lymphodema rather than normal surgery side effects. My left side (non radiated) is normal. I'm super active- but have been avoiding lifting heavy things etc. i'm 400 in great health (um besides the whole cancer thing),Is puffiness common -4 weeks post 2nd stage breast reconstruction?,After Procedure Only,radiation
Is fat graphing after expanders are in place and before the actual implants are placed a normal thing to do?,2-Oct-16,"Nortonville, KY","I had stage 2b dcis and had 2lumpecto Ives and margins weren't clear so after chemo I had a double masectomy with expander placement. Then 31 radiation treatments . And I wanted to have some fat graphing along with my exchange which I couldn't do for six months , my dr. Referred me to a diff. PS, in a different state he insisted on doing the graphing first after one treatment I now have a hard lump where my port use to be he says it's fine but it's sore and itches , I don't want anymore graphing.",Is fat graphing after expanders are in place and before the actual implants are placed a normal thing to do?,After Procedure Only,radiation
Breast very tight and scar is hard and skin above scar so tight and lacking arm motion? (Photo),30-Sep-16,"Orlando, FL",I was a fail with breast recon. Had bilateral on 7/28/15 and reexcised margins after chemo and radiation along with complete capsolectomy. The tightness and pain I have every day. Plastic surgeon released me. im a model patient and plastic surgeon who operated on me says he can't help Me. I'm trying now to get into UF Shands in Gainesville and they offered a consultation. I'm on meds and in pain The scar is hard. Above my scar the skin is as if it's superglued so tight.,Breast very tight and scar is hard and skin above scar so tight and lacking arm motion? (Photo),After Procedure Only,radiation
New pain one year after diep flat reconstruction (two years post mastectomy and radiation).,23-Sep-16,"Parramatta, AU","For the past 6-8 weeks I've been experiencing increasing pain under/next to reconstructed breast. It is radiating around my shoulder area and can be painful when breathing. Very sensitive to touch, but the pain seems to come and go, usually worse towards end of day and night and can wake me up when its at its worst. Can this pain be caused due to scar tissue? I had a non eventful recovery post surgery with no real pain and no problems",New pain one year after diep flat reconstruction (two years post mastectomy and radiation).,After Procedure Only,radiation
Anyone have any positive input on why my fat injections didn't take and why I have seromas under implants?,"April 5, 2017","Sioux Falls, SD",I had bilateral mastectomy 09/02/16 followed by alloderm covered implants. I the. Had 25 radiation treatments. On 01/18/17 I had fat injections. March of 2017 my radiated side started swelling and was painful. I went to Interventional Radiology and had 365 cc's of cloudy yellow fluid removed. The following week I had 160 cc's of serous fluid removed. The 3rd week ultrasound showed fluid under prosthesis and wouldn't drain it as it was too close to implant. Last week they drained 60 cc's. Help!!!,Anyone have any positive input on why my fat injections didn't take and why I have seromas under implants?,After Procedure Only,radiation
"Could this be an implant Rupture, or another breast reconstruction complication? (Photo)",7-Jul-17,"Grand Rapids, MI","I have what looks to age a large bubble under the skin of my breast. It moves some when applying pressure to it. I had breast cancer, chemo/radiation/reconstruction. My last breast surgery was about a year ago however the process is not yet complete. I did fall pretty hard on this side of the breast about 7.5 weeks ago, however my surgeon did not feel it was ruptured at the time.","Could this be an implant Rupture, or another breast reconstruction complication? (Photo)",After Procedure Only,radiation
Will my radiated breast drop? (Photo),22-Sep-17,"Orlando, FL",I has my exchange a month ago. The non radiated side looks and feels great. The radiated side is still high and tight.,Will my radiated breast drop? (Photo),After Procedure Only,radiation
I had bilateral nipple and skin saving mastectomy with immediate reconstruction and developed capsular contracture. What now?,18-Oct-17,"Flagstaff, AZ",I had the bilateral nipple and skin saving mastectomy with expander placement about 2 years ago. I expanded the tissue prior to radiation. I had 8 months of chemo and then 33 days of radiation. Waited 6 months and then had the implant exchange with natrelle 345 cc implants and fat grafting from my stomach. Developed the capsular contracture about 4 months post op and most of the fat has absorbed. Also the breast that did not have radiation the pocket is too big. What are my options to fix?,I had bilateral nipple and skin saving mastectomy with immediate reconstruction and developed capsular contracture. What now?,After Procedure Only,radiation
Can this really reattach? I understand this is necrotic from talking to my doctor. (Photo),19-Nov-17,"Dallas, TX","On October 18th I had nipple reconstruction (I had my double mastectomy/reconstruction May 5th and finished radiation July 13th. When he took my nipple covers off I had two very dark brown large mounds initially. We have talked about how that was indicative I would lose some tissue, etc.. NOW, this is what my right nipple looks like. A big booger. I understand this is necrotic from talking to my doctor. Last night it finally came off. My doctor says it can heal, but I have no idea how.",Can this really reattach? I understand this is necrotic from talking to my doctor. (Photo),After Procedure Only,radiation
Breast Shrinkage 10 Years After Radiation for Breast Cancer?,16-Jul-11,"Fort Myers, FL",Hi there. My mom is a 10 year breast cancer survivor treated with lumpectomy and radiation. She has recently noticed the treated breast has shrunk in size. She had a normal CBE and diagnostic mammogram. Is this normal for the breast to shrink in size after so many years? What can be done?,Breast Shrinkage 10 Years After Radiation for Breast Cancer?,After Procedure Only,radiation
I recently had a breast reduction to my right breast and a lift to both.,14-Jan-18,"Deep Water, WV",Breast cancer twice with radiation to both breast about 16 years apart. I had a batwing procedure because of having radiation in both breast.?My right breast was much larger so that was my major concern. So to my surprise when I was able to take my first shower after surgery i had to take a double take now my right breast that had the reduction is smaller than my left breast. OMG,I recently had a breast reduction to my right breast and a lift to both.,After Procedure Only,radiation
Why is everyones diep flap incision different? I had mastectomy in 2014 with expanders and implants now.,23-Feb-18,"Long Island City, NY",I had radiation so now my breast is hard and painful with no symatry. I want to fix them.,Why is everyones diep flap incision different? I had mastectomy in 2014 with expanders and implants now.,After Procedure Only,radiation
Pains After Breast Reconstruction with Silicone Implant?,2-Aug-12,,"i have severe back pain,,its now 2 years after my mastectomy and silicone implant .and also sharp pain on my left chest..pls can someone help me",Pains After Breast Reconstruction with Silicone Implant?,After Procedure Only,silicone implant
"Breast reconstruction silicone implants have ruptured, is silicone leaking into my body?",31-Aug-12,,"I had mastectomy in 2004 and have silicone implants.MRI showed ruptured left implant sitting in the tissues created capsule.The implant feels firm,like a ball and not flat.I would appreciate if you could answer a few questions for me:1) Is the silicone leeking into my body now? What is the danger of silicone getting into the body? 2) Do I have to have a surgery right away? 3) What reconstruction options can you suggest, I'm 105 lbs/5 feet.Were there any advances in the implant world? Thanks!","Breast reconstruction silicone implants have ruptured, is silicone leaking into my body?",After Procedure Only,silicone implant
Has the Brava System Been Used Successfully to Replace Implants AFTER Breast Reconstruction?,21-Feb-13,,"Brava wasn't yet available when I had my bilateral with reconstruction (tissue expanders / silicone implants). I haven't seen any discussions of it being used for women who may want to replace their implants through this method and I'm just curious if this is even an option? Have there been any studies on the success of Brava's use following breast reconstruction with implants? Would it restore any sensation? I'm basically happy with my results, but something I may consider down the road. Thank you.",Has the Brava System Been Used Successfully to Replace Implants AFTER Breast Reconstruction?,After Procedure Only,silicone implant
Infected Implant After Brest Reconstruction No Radiation,26-May-11,"Clifton Park, NY",Had double mastectomy with expander placement. One expander became infected and was removed. Have since had bilateral silicone implants placed with lat flap to non-expanded breast. Lat flap breast has since become infected. What are my chances of clearing this infection without having to remove the implant? Concerned in CP,Infected Implant After Brest Reconstruction No Radiation,After Procedure Only,silicone implant
I had a nipple sparring mastecomy. With the expanders my nipples are always erect will that continue that way after exchange?,23-Oct-13,"Stl, Mo",I had a nipple sparring mastecomy. Next month I will be exchanging my tissue expanders for silicone round implants. With the expanders my nipples have been erect. I wonder if the hardness of the implants possibly is pushing up against it causing it to protude. So the question is after my exchange will my "head lights" continue to be on ?,I had a nipple sparring mastecomy. With the expanders my nipples are always erect will that continue that way after exchange?,After Procedure Only,silicone implant
Support bra and massage after implant exchange?,13-Dec-13,,"Hello. It's been 10 days since I had tissue expanders replaced by silicone implants, with nipple reconstruction. I still have steri-strips covering stitches. I have 400 cc silicone implants. I am not wearing a bra. Question 1: Should I wear a sports bra to support the implants? Question 2: Do I need to massage the breasts at this point, and if so, how? And for how long? Thanks",Support bra and massage after implant exchange?,After Procedure Only,silicone implant
Why are my breasts looking so flat? Will they stay like this? I've seen photos where they look very natural (Photo),"April 11, 2014",,Had bilateral mastectomy with expanders followed by chemo. Just had my reconstructive surgery and had 550cc silicone implants put in. My breast are looking very flat...,Why are my breasts looking so flat? Will they stay like this? I've seen photos where they look very natural (Photo),After Procedure Only,silicone implant
I had a Mastectomy with silicone implant. Incision hasn't closed & continues to drain 8 weeks post op. What should be done?,7-May-14,,"I am 65years old, completed chemo 12 weeks ago and had a complete response,no other health issues.my plastic surgeon feels I was not having enough protein and I have been eating 60-70 grams of protein for the past 2 weeks.",I had a Mastectomy with silicone implant. Incision hasn't closed & continues to drain 8 weeks post op. What should be done?,After Procedure Only,silicone implant
Hollow appearance in chest area after reconstruction. (Photo),4-Jul-14,85396,"Feb. I had reconstructive surgery with silicone implants after double mastectomy October 30. What are all the tiny pea size things I feel in each breast? There is also much heaviness. Will this ever go away? Sometimes it's hard to breath. Is this normal? lots of rippling, can't lift myself. Left breast is bigger than right & more squared. Right breast looks normal, but fallen more than the left. Hollow at top of each breast & the manubrium is very noticeable. Is this all normal?",Hollow appearance in chest area after reconstruction. (Photo),After Procedure Only,silicone implant
Are my Chest Muscles Too Tight for my Implants?,9-Oct-12,Florida,"I had a bilat mastectomy w expanders 540cc. The expanders looked smushed but I was told that it is temporary and willl look better once the implants were in. I had the implants (550cc silicone textured) on Sept 5 and they look the same the expanders did, smushed and protruding out towards the underarms. The doctor said once I heal (3 months) I can have the impants changed to be on top of the muscle. Is this my only choice? After some research, I think the pockets were not made properly? Thanks",Are my Chest Muscles Too Tight for my Implants?,After Procedure Only,silicone implant
Is an MRI Covered by Insurance for Future Checks on Silicone Implants That I Have Due to Breast Cancer Reconstruction?,7-Sep-12,,"I was diagnosed with cancer my right breast, and had a double mastectomy with immediate expander placement. I just had replacement surgery, with silicone implants. I will now need to have follow-up MRI's every 2-3 years to make sure that they are still okay. I know that my insurance was obligated (by law) to pay for the reconstruction/implants because it was breast cancer, are they ALSO obligated by law to cover the follow-up MRI's and subsequent implant replacement(s), if deemed medically necessary?",Is an MRI Covered by Insurance for Future Checks on Silicone Implants That I Have Due to Breast Cancer Reconstruction?,After Procedure Only,silicone implant
Breast Cut for Reconstruction?,21-Oct-12,,I am having my expanders replaced with silicone implants. My current incisions are from my nipples toward my armpits. Is there a downside to making the new incisions below the breast? I am worried that additional nerves may be cut.,Breast Cut for Reconstruction?,After Procedure Only,silicone implant
Reconstruction Rippling with Silicone?,24-Oct-12,"Omaha, NE","Hello, I had breast reconstruction on Oct 19 2012. I had a nipple sparing mastectomy followed by expanders followed by round silicone Hp 600cc implants. I have rippling on the top/cleavage and on the sides below my armpits. The size and shape are wonderful. The rippling bothers me. When I stick my chest out the ripples disappear. What would be necessary to hide these ripples? Fat transfer? Revision with alloderm? Which is the better option? How soon can I do that? Would insurance cover?",Reconstruction Rippling with Silicone?,After Procedure Only,silicone implant
Can See Major Rippling with Silicone Implants. Doctor Suggests over Filled Saline Exchange?,27-Nov-12,,"My chest wall is thin so I can see major ripples whenever I'm not standing perfectly errect. I also don't like how squishy the silicone implants feel. I liked the projection of the expanders. My doc suggests switching to overfilled saline implants and adding alloderm to the chest wall. He doesn't guarantee this will get rid of all ripples, but should significantly reduce them. Will this work? I thought waiting for cohesive gel might be better but he says they'll behave the same as I have now.",Can See Major Rippling with Silicone Implants. Doctor Suggests over Filled Saline Exchange?,After Procedure Only,silicone implant
It is Normal for Implants for Soften a Lot After Three Years?,17-Nov-12,,"My implants recently started feeling very soften and the skin is loose, after three years o f reconstruction an dsilicone implants",It is Normal for Implants for Soften a Lot After Three Years?,After Procedure Only,silicone implant
How Do I Know if my Silicone Implants Are Not Leaking After Reconstruction? ,28-Jan-13,,I had a bi lateral mastectomy 7/11/12 with expanders and on 11/4/12 had 800cc natrelle silicone. I am having a lot of pain in left breast and under armpit. It is painful to the touch. But my right one is not bad at all. I do not have cancer it was prophylactic. I am 33yrs old.,How Do I Know if my Silicone Implants Are Not Leaking After Reconstruction? ,After Procedure Only,silicone implant
Pain After Revision to Silicone Implant Surgery After Prophylactic Bilateral Mastectomies?,1-Feb-13,,"I had prophylactic bilateral mastectomies 2-22-12 w/expanders and SI (400 or 450 cc).I had exch surg 5-22-12.December 20, 2012, I had revision surgery to move the implants in and up. I have had extreme pain (stabbing) under my right breast along the crease and on the rib since this surgery six weeks ago, and my PS tells me it doesn't make sense.She made the crease by suturing the tissue to the sheath covering the rib and did not use Alloderm, and this is likely the problem.Is this a typical technique?",Pain After Revision to Silicone Implant Surgery After Prophylactic Bilateral Mastectomies?,After Procedure Only,silicone implant
